store_id,store_name,address,city,state,zip_code,phone_number,lat,long,status,radius_km
5603521,Albertsons,4400 Ambassador,Caffery Lafayette,LA,70508,(337) 984-4587,30.156494,-92.050708,red,30.0
5603536,Albertsons,2863 Ambassador,Caffery Lafayette,LA,70506,(337) 406-8887,30.19826944,-92.07380589,blue,30.0
5603369,Albertsons,15232 George O'neal Rd,Baton Rouge,LA,70817,(225) 753-0700,30.406403,-91.015028,red,30.0
5603373,Albertsons,9960 Bluebonnet Blvd,Baton Rouge,LA,70810,(225) 768-7775,30.35572741,-91.11087737,blue,30.0
5603522,Albertsons,9831 Campo Rd,Spring Valley,CA,91977,(619) 462-6290,32.747011,-116.98408,red,30.0
5603394,Albertsons,9725 S Maryland Pkwy,Las Vegas,NV,89183,(702) 616-1946,36.012068,-115.13798,blue,30.0
5603517,Albertsons,9650 Airline Hwy,Baton Rouge,LA,70815,(225) 926-9304,30.432298,-91.08294,blue,30.0
5603388,Albertsons,9595 E Broadway,Tucson,AZ,85748,(520) 751-7699,32.221489,-110.787953,red,30.0
5603529,Albertsons,9560 Winter Gardens Blvd,Lakeside,CA,92040,(619) 561-5521,32.851525,-116.932134,blue,30.0
5603349,Albertsons,940 N Tustin Ave,Orange,CA,92867,(714) 633-2570,33.80332129,-117.8379534,blue,30.0
5603432,Albertsons,9300 Clifford St,Fort Worth,TX,76108,(817) 246-3366,32.766259,-97.477995,red,30.0
5603321,Albertsons,927 S China Lake Blvd,Ridgecrest,CA,93555,(760) 384-4015,35.60472,-117.674249,red,30.0
5603138,Albertsons,9243 E Baseline Rd,Mesa,AZ,85209,(480) 986-3060,33.37781,-111.6335399,red,30.0
5603294,Albertsons,915 Redcliffs Dr,Washington,UT,84780,(435) 628-0424,37.12547602,-113.5245353,red,30.0
5603161,Albertsons,911 N Main St,Hailey,ID,83333,(208) 788-6709,43.527615,-114.322233,red,30.0
5603342,Albertsons,910 N Phoenix Rd,Medford,OR,97504,(541) 770-7050,42.316839,-122.815111,red,30.0
5603206,Albertsons,909 E Parkcenter Blvd,Boise,ID,83706,(208) 345-3180,43.581132,-116.172128,blue,30.0
5603363,Albertsons,9022 Balboa Blvd,Northridge,CA,91325,(818) 894-6415,34.2344993,-118.501522,red,30.0
5603212,Albertsons,900 W Idaho St,Kalispell,MT,59901,(406) 257-7127,48.199697,-114.329208,red,30.0
5603227,Albertsons,8950 W Bell Rd,Peoria,AZ,85382,(623) 876-8103,33.6398357,-112.2516279,red,30.0
